question,answer
What is the capital of France?,Paris
What is the chemical symbol for water?,H2O
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in the solar system?,Jupiter
In what year did World War II end?,1945
What is the speed of light (approx) in km/s?,299792
Who wrote Romeo and Juliet?,William Shakespeare
What is the powerhouse of the cell?,Mitochondria
How many sides does a hexagon have?,6
What is the square root of 144?,12
What country has the longest coastline?,Canada
What is the chemical symbol for gold?,Au
